day1: 15 June 2002 = day 166 von 2002, last day: 01 dec 2004 = day 1066 von 2002
day     HB pressure in MPa  (Graesle et al., 2006, Fig. 13 (a)
100.0, 1.1102e-16
166.0, 1.1102e-16
193.6765, 4.218e-3
224.4282, 8.4052e-3
245.9544, -0.0127
265.4305, -0.0305
293.1071, -0.0572
319.7585, -0.0884
340.2597, -0.1151
365.8861, -0.1643
387.4123, -0.191
410.9886, -0.2313
432.5148, -0.2715
450.9658, -0.3118
471.467, -0.352
496.0683, -0.3922
517.5945, -0.4369
540.1458, -0.4637
563.7221, -0.4859
586.2733, -0.5037
610.8747, -0.5034
640.6014, -0.4896
677.5034, -0.4848
706.205, -0.471
740.0319, -0.4527
771.8087, -0.4344
798.4601, -0.4162
827.1617, -0.4069
852.7882, -0.3797
881.4897, -0.3704
897.8907, -0.3612
914.2916, -0.3611
927.6173, -0.325
941.9681, -0.2619
956.3189, -0.2033
968.6196, -0.1403
981.9453, -0.0683
995.2711, 0.0128
1008.5968, 0.1073
1020.8975, 0.1928
1033.1982, 0.2873
1046.5239, 0.3998
1061.8998, 0.4988
1078.3007, 0.6159
