# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
 14869.51   0.021
 14701.43   0.062
 14533.36   0.104
 14365.31   0.146
 14197.28   0.188
 14029.27   0.229
 13861.28   0.271
 13693.32   0.312
 13525.37   0.354
 13357.44   0.396
 13189.53   0.437
 13021.64   0.479
 12853.77   0.521
 12685.92   0.562
 12518.09   0.604
 12350.28   0.646
 12182.50   0.688
 12014.73   0.729
 11846.98   0.771
 11679.25   0.812
 11511.55   0.854
 11343.86   0.896
 11176.20   0.938
 11008.55   0.979
 10840.93   1.021
 10673.32   1.062
 10505.74   1.104
 10338.18   1.146
 10170.64   1.187
 10003.12   1.229
  9835.62   1.271
  9668.14   1.312
  9500.69   1.354
  9333.25   1.396
  9164.60   1.437
  8982.75   1.479
  8786.96   1.521
  8580.12   1.562
  8365.11   1.604
  8144.82   1.646
  7922.14   1.687
  7699.94   1.729
  7481.12   1.771
  7268.55   1.812
  7065.13   1.854
  6873.74   1.896
  6697.26   1.937
  6538.58   1.979
  6400.59   2.021
  6286.16   2.062
  6198.19   2.104
  6139.56   2.146
  6113.15   2.188
  6122.50   2.229
  6169.05   2.271
  6249.64   2.312
  6360.95   2.354
  6499.67   2.396
  6662.48   2.438
  6846.05   2.479
  7047.09   2.521
  7262.26   2.562
  7488.25   2.604
  7721.75   2.646
  7959.45   2.688
  8198.01   2.729
  8434.13   2.771
  8664.50   2.812
  8885.79   2.854
  9094.68   2.896
  9287.87   2.938
  9462.04   2.979
  9613.86   3.021
  9740.02   3.062
  9837.22   3.104
  9902.12   3.146
  9931.41   3.188
  9930.49   3.229
  9920.22   3.271
  9902.08   3.312
  9876.51   3.354
  9843.92   3.396
  9804.73   3.438
  9759.36   3.479
  9708.23   3.521
  9651.76   3.562
  9590.36   3.604
  9524.46   3.646
  9454.48   3.688
  9380.83   3.729
  9303.93   3.771
  9224.21   3.812
  9142.08   3.854
  9057.97   3.896
  8972.28   3.938
  8885.45   3.979
  8797.89   4.021
  8710.01   4.062
  8622.25   4.104
  8535.01   4.146
  8448.72   4.187
  8358.33   4.229
  8251.01   4.271
  8127.91   4.312
  7990.92   4.354
  7841.93   4.396
  7682.81   4.437
  7515.45   4.479
  7341.73   4.521
  7163.54   4.562
  6982.75   4.604
  6801.26   4.646
  6620.94   4.687
  6443.68   4.729
  6271.35   4.771
  6105.86   4.812
  5949.06   4.854
  5802.86   4.896
  5669.13   4.937
  5549.76   4.979
  5446.62   5.021
  5361.61   5.062
  5296.60   5.104
  5253.48   5.146
  5234.13   5.187
  5679.01   5.229
  7575.92   5.271
 10711.78   5.312
 14813.97   5.354
 19609.85   5.396
 24826.79   5.437
 30192.16   5.479
 35433.33   5.521
 40277.67   5.562
 44452.55   5.604
 47685.34   5.646
 49703.40   5.687
 50960.96   5.729
 52100.92   5.771
 53133.75   5.812
 54069.88   5.854
 54919.78   5.896
 55693.88   5.937
 56402.64   5.979
 57056.50   6.021
 57665.91   6.062
 58241.32   6.104
 58793.19   6.146
 59331.94   6.187
 59868.05   6.229
 60411.95   6.271
 60974.09   6.312
 61564.93   6.354
 62194.90   6.396
 62874.46   6.437
 63614.06   6.479
 64424.14   6.521
 65309.09   6.562
 66214.18   6.604
 67125.90   6.646
 68046.72   6.687
 68979.09   6.729
 69925.48   6.771
 70888.36   6.812
 71870.20   6.854
 72873.47   6.896
 73900.62   6.937
 74954.13   6.979
 76036.47   7.021
 77150.09   7.062
 78297.47   7.104
 79481.08   7.146
 80703.37   7.187
 81966.82   7.229
 83273.90   7.271
 84627.06   7.312
 86028.78   7.354
 87481.52   7.396
 88987.75   7.437
 90549.94   7.479
 92170.55   7.521
 93858.67   7.562
 95628.59   7.604
 97485.37   7.646
 99433.97   7.687
101479.34   7.729
103626.44   7.771
105880.22   7.812
108245.62   7.854
110727.62   7.896
113331.16   7.937
116061.19   7.979
118922.67   8.021
121920.56   8.062
125059.80   8.104
128345.35   8.146
131782.17   8.188
135375.21   8.229
139129.42   8.271
143049.76   8.312
147141.17   8.354
151945.75   8.396
158097.04   8.438
165427.82   8.479
173766.20   8.521
182940.31   8.562
192778.26   8.604
203108.18   8.646
213758.19   8.688
224556.41   8.729
235330.95   8.771
245909.95   8.812
256121.51   8.854
265793.77   8.896
274754.84   8.938
282832.84   8.979
289855.90   9.021
295652.13   9.062
300049.65   9.104
303246.72   9.146
306167.62   9.188
308881.92   9.229
311405.34   9.271
313753.61   9.312
315942.45   9.354
317987.60   9.396
319904.79   9.438
321709.73   9.479
323418.16   9.521
325045.80   9.562
326608.39   9.604
328121.66   9.646
329601.32   9.688
331063.11   9.729
332522.75   9.771
333995.98   9.812
335498.52   9.854
337046.09   9.896
338654.44   9.938
340339.28   9.979
342116.34  10.021
344001.35  10.062
346010.04  10.104
348131.66  10.146
350300.96  10.188
352511.23  10.229
354759.55  10.271
357043.00  10.312
359358.64  10.354
361703.57  10.396
364074.85  10.438
366469.56  10.479
368884.78  10.521
371317.59  10.562
373765.06  10.604
376224.27  10.646
378692.30  10.688
381166.22  10.729
383643.11  10.771
386120.05  10.812
388594.10  10.854
391062.36  10.896
393521.90  10.938
395969.79  10.979
398403.11  11.021
400818.94  11.062
403214.35  11.104
405592.13  11.146
407966.49  11.188
410338.70  11.229
412709.20  11.271
415078.45  11.312
417446.88  11.354
419815.12  11.396
422184.29  11.438
424554.16  11.479
426924.28  11.521
429294.22  11.562
431663.53  11.604
434031.77  11.646
436398.51  11.688
438763.30  11.729
441125.69  11.771
443485.26  11.812
445841.56  11.854
448194.15  11.896
450542.58  11.938
452887.46  11.979
455229.75  12.021
457569.58  12.062
459907.06  12.104
462242.32  12.146
464575.47  12.188
466906.65  12.229
469235.96  12.271
471563.53  12.312
473889.47  12.354
476213.92  12.396
478536.98  12.438
480858.78  12.479
483179.43  12.521
485499.07  12.562
487817.81  12.604
490135.76  12.646
492453.05  12.688
494769.81  12.729
497086.14  12.771
499402.17  12.812
501718.02  12.854
504033.81  12.896
506349.66  12.938
508665.06  12.979
510979.43  13.021
513292.80  13.062
515605.21  13.104
517916.70  13.146
520227.30  13.188
522537.06  13.229
524846.01  13.271
527154.18  13.312
529461.61  13.354
531768.35  13.396
534074.42  13.438
536379.86  13.479
538684.71  13.521
540989.00  13.562
543292.78  13.604
545596.08  13.646
547898.94  13.688
550201.39  13.729
552503.46  13.771
554805.21  13.812
557106.66  13.854
559407.84  13.896
